,Total - Household after-tax income groups in 2015 for private households - 100% data,"  Under $5,000","  $5,000 to $9,999","  $10,000 to $14,999","  $15,000 to $19,999","  $20,000 to $24,999","  $25,000 to $29,999","  $30,000 to $34,999","  $35,000 to $39,999","  $40,000 to $44,999","  $45,000 to $49,999","  $50,000 to $59,999","  $60,000 to $69,999","  $70,000 to $79,999","  $80,000 to $89,999","  $90,000 to $99,999","  $100,000 to $124,999","  $125,000 to $149,999","  $150,000 to $199,999"
130,"22,305","2,130",655,765,905,850,"1,015",915,980,"1,010","1,005","1,900","1,705","1,575","1,255",995,"1,760","1,055","1,840"
131,"7,550",575,215,265,610,370,330,315,310,300,295,490,485,465,420,315,630,390,765
132,"8,510",105,80,155,305,405,430,380,450,455,390,805,685,600,555,435,875,550,820
133,"18,430",435,470,685,"1,160",905,"1,020","1,035","1,060","1,075","1,020","1,905","1,545","1,315","1,070",850,"1,485",710,655
134,"5,455",70,125,260,325,295,225,220,220,220,210,360,325,285,320,265,560,475,695
135,"3,450",60,60,110,200,175,145,140,140,165,140,290,235,245,245,185,395,280,260
136,"5,880",135,125,185,405,380,245,265,290,280,225,500,400,380,305,250,495,310,705
137,"5,680",215,105,140,190,210,215,230,255,240,240,475,415,345,255,240,465,320,"1,135"
138,"7,010",240,125,190,220,255,250,280,310,330,315,625,475,450,335,305,570,350,"1,390"
139,"10,165",350,220,350,540,555,580,650,645,635,565,"1,065",870,715,575,435,700,355,320
140,"5,345",115,70,120,225,275,275,300,335,305,285,500,445,365,290,270,470,280,435
